Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Region,Hotel_Size_Category,Hotel_Type
HOTEL SAPPHIRE,"NO.371,GALLE ROAD,COLOMBO 06.",40,2,Colombo,Colombo,Colombo Divisional Secretariat,79.862144,6.870956,Western,Small,Budget
CENTARA CEYSANDS RESORT & SPA,"NATIONAL HOLIDAY RESORT,BENTOTA.",84,2,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.994388,6.430908,Southern,Small,Budget
CAROLINA BEACH HOTEL,"AMBANKANDAWILA, CHILAW",45,2,Puttalam,Chilaw Pradeshiya Sabha,Chilaw Divisional Secretariat,79.787779,7.562663,North Western,Small,Budget
DEVON HOTEL,"NO.51, AMPITIYA ROAD, KANDY.",25,2,Kandy,Kandy,Kandy Divisional Secretariat,80.649976,7.284506,Central,Small,Budget
GALLE FACE HOTEL,"NO.02, GALLE ROAD, COLOMBO 03",145,3,Colombo,Colombo,Colombo Divisional Secretariat,79.84648,6.920125,Western,Medium,Mid-range
RENUKA HOTEL,"NO.328, GALLE ROAD, COLOMBO 03",81,3,Colombo,Colombo,Colombo Divisional Secretariat,79.850428,6.908535,Western,Small,Other
PALM GARDEN VILLAGE HOTEL,"POST 42,PUTTALAM ROAD, PANDULAGAMA, ANURADHAPURA.",50,3,Anuradhapura,Madyama Nuwaragam Palatha Pradeshiya Sabawa,Anuradhapura East,80.345324,8.314734,North Central,Small,Other
SIGIRIYA VILLAGE HOTEL,"P.O.BOX 01, SIGIRIYA",120,3,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.761097,7.949584,Central,Medium,Mid-range
THE PALMS,"N-91, 6TH LANE, MORAGALLA, BERUWALA",100,3,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.981157,6.449641,Western,Medium,Mid-range
MERMAID HOTEL & CLUB,"MAHAWASKADUWA, KALUTARA",72,2,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9449,6.61728,Western,Small,Budget
HOTEL TOPAZ,"ANNIWATTE, KANDY",75,2,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,80.625213,7.29056,Central,Small,Budget
CAMELOT BEACH HOTEL,"NO.345,LEWIS PLACE,NEGOMBO.",81,1,Gampaha,Negombo,Negombo Divisional Secretariat,79.841047,7.233243,Western,Small,Budget
THE VILLAGE,NATIONAL HOLIDAY RESORT POLONNNARUWA.,36,1,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.993096,7.924764,North Central,Small,Budget
CENTAURIA LAKE,"NEW TOWN,EMBILIPITIYA.",52,1,Ratnapura,Embilipitiya,Embilipitiya Divisional Secretariat,80.856132,6.320182,Sabaragamuwa,Small,Budget
KASSAPA LIONS ROCK,"DIGAMPATHAHA,KIMBISSA.",31,2,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.727282,7.979678,Central,Small,Budget
